species,coeff1,coeff2,coeff3,coeff4,coeff5
C2H2,8.11613E+05,-3.99041E+05,9.15250E+01,2.53889E-05,-2.03949B-08
C2N2,1.77312B+05,-4.97555E+05,9.62430E+01,-4.71719E-05,0.00000E+00
C3H,4.07910B+01,-2.17620E+01,9.33770E-01,-1.38630E-01,7.45490E-03
H2CO,9.91212E+05,-3.70812E+05,9.03305E+01,4.39620E-04,-3.01383E-08
CH3,1.06713E+06,-3.01022E+05,8.47773E+01,6.14095E-04,-4.34934E-08
HCNO,7.64992E+05,-4.26302E+05,9.19995E+01,2.86974B-04,-1.52951E-08
CrO3,1.61401E+05,-3.45686E+05,9.73923E+01,1.82878E-04,2.60013E-08
NH3,1.23626E+06,-2.89588E+05,8.52686E+01,5.66638E-04,-3.66862E-08
PH3,8.43855E+05,-2.37749E+05,8.14198E+01,3.66264E-04,-1.23043E-08
SiH3,3.63290E+01,-1.05560E+01,8.09450E-02,-8.62120E-03,3.98640E-04
HNO2 (trans),6.98937E+05,-3.08668E+05,8.96184E+01,2.67463E-04,-1.22202E-08
HNO2 (cis),7.03172E+05,-3.08237E+05,8.97218E+01,2.56750E-04,-1.15238E-08
NO3,4.42258E+05,-2.78648E+05,9.82856E+01,6.50496E-06,7.35167E-09
SO3,4.54902E+05,-3.43672E+05,1.00999E+02,5.09991E-05,0.00000E+00
C3O2,2.25493E+05,-6.59131E+05,1.31404E+02,-2.12679B-04,0.00000E+00
CH4,1.51591E+06,-4.09711E+05,1.19952E+02,5.71281E-04,-4.77554E-08
CaO2H2,7.53266E+05,-4.17799E+05,1.08393E+02,-3.36165E-04,6.07810E-08
SiH3Cl,8.24263E+05,-3.34096E+05,1.13001E+02,2.19972B-04,-1.86462E-08
SiH3F,8.45148E+05,-3.80353E+05,1.15028E+02,2.05416E-04,-1.76493E-08
FeO2H3,4.18570E+05,-4.05885E+05,1.14517E+02,-2.48115E-04,3.53182E-08
MgO2H2,7.28023E+05,-4.00948E+05,1.11212E+02,5.21735E-05,1.76309E-11
SrO2H2,7.25952E+05,-4.10409E+05,1.05863E+02,-4.58167E-04,8.33580E-08
SiH4,9.83348E+05,-3.16438E+05,1.13885E+02,2.90172E-04,-2.37569B-08
HNO3,8.02373E+05,-3.82689E+05,1.26355E+02,1.65050E-05,-2.02960E-10
C2H4,1.57756E+06,-5.51401E+05,1.51644E+02,2.93007E-04,-3.54396E-08
N2O4,5.92417E+05,-4.67573E+05,1.63906E+02,-5.25057E-04,3.57897E-08
H2SO4,9.36433E+05,-5.92570E+05,1.90572E+02,-2.99786E-04,1.02593E-08
K2S04,7.69152E+05,-6.14396E+05,1.926118+02,-2.05045E-03,2.04040E-07
Na2SO4,4.84202E+05,-6.07375E+05,1.92565E+02,-1.29338E-03,1.03953E-07
